Backbone Accessibility h=2	Merged Accessibility h=2	Backbone Accessibility h=3	Merged Accessibility h=3
0.917663	1	0	0
0.896849	1	0	0
0.932231	1	0	0
0.90997	1	0	0
0.893893	1	0	0
0.912066	1	0	0
0.899281	1	0	0
0.933058	1	0	0
0.914694	1	0	0
0.919429	1	0	0
0.894441	1	0	0
0.911962	1	0	0
0.928074	1	0	0
0.919679	1	0	0
0.910482	1	0	0
0.875759	1	0.0144921	0.999835
0.883836	1	0	0
0.906036	1	0	0
0.894037	1	0	0
0.918219	1	0	0
0.896353	1	0	0
0.899276	1	0	0
0.876558	1	0	0
0.896075	1	0	0
0.910233	1	0	0
0.897577	1	0	0
0.875068	1	0	0
0.896434	1	0	0
0.88874	1	0	0
0.879527	1	0	0
0.887861	1	0	0
0.898986	1	0	0
0.883664	1	0	0
0.891112	1	0	0
0.902661	1	0	0
0.905812	1	0	0
0.8838	1	0	0
0.876442	1	0	0
0.891086	1	0	0
0.904921	1	0	0
0.915161	1	0	0
0.823779	1	0	0
0.895594	1	0	0
0.905794	1	0	0
0.90994	1	0	0
0.884375	1	0	0
0.909262	1	0	0
0.928027	1	0	0
0.893937	1	0	0
0.905801	1	0	0
0.914685	1	0	0
0.911146	1	0	0
0.884023	1	0	0
0.91728	1	0	0
0.883446	1	0	0
0.907582	1	0	0
0.887322	1	0	0
0.917754	1	0	0
0.907248	1	0	0
0.898075	1	0	0
0.906816	1	0	0
0.897974	1	0	0
0.888258	1	0	0
0.886913	1	0	0
0.908162	1	0	0
0.90444	1	0	0
0.914564	1	0	0
0.863521	1	0.00636943	1
0.8838	1	0	0
0.902084	1	0	0
0.891112	1	0	0
0.912167	1	0	0
0.906835	1	0	0
0.887861	1	0	0
0.911315	1	0	0
0.902977	1	0	0
0.886545	1	0	0
0.907318	1	0	0
0.914027	1	0	0
0.898129	1	0	0
0.897408	1	0	0
0.886502	1	0.00625	1
0.906016	1	0	0
0.899463	1	0	0
0.916741	1	0	0
0.913044	1	0	0
0.873113	1	0	0
0.846805	1	0.0150606	0.964221
0.903884	1	0	0
0.876813	1	0	0
0.937894	1	0	0
0.897573	1	0	0
0.910047	1	0	0
0.922725	1	0	0
0.911235	1	0	0
0.886131	1	0.00689655	1
0.859772	1	0	0
0.904017	1	0	0
0.909943	1	0	0
0.898952	1	0	0
0.905189	1	0	0
0.886969	1	0	0
0.926359	1	0	0
0.926706	1	0	0
0.920111	1	0	0
0.902351	1	0	0
0.902565	1	0	0
0.903274	1	0	0
0.902507	1	0	0
0.883924	1	0	0
0.89627	1	0	0
0.905894	1	0	0
0.9253	1	0	0
0.902481	1	0	0
0.901613	1	0	0
0.902031	1	0	0
0.920974	1	0	0
0.904929	1	0	0
0.903292	1	0	0
0.901747	1	0	0
0.927192	1	0	0
0.901799	1	0	0
0.90519	1	0	0
0.917302	1	0	0
0.869386	1	0	0
0.904948	1	0	0
0.924679	1	0	0
0.884375	1	0	0
0.919315	1	0	0
0.905847	1	0	0
0.902245	1	0	0
0.920438	1	0	0
0.9236	1	0	0
0.919036	1	0	0
0.898668	1	0	0
0.917633	1	0	0
0.888083	1	0	0
0.923983	1	0	0
0.905553	1	0	0
0.900441	1	0	0
0.882366	1	0	0
0.886569	1	0	0
0.871512	1	0.0154608	0.980066
0.912906	1	0	0
0.88455	1	0	0
0.907453	1	0	0
0.857761	1	0.00621118	1
0.908103	1	0.00740741	1
0.912307	1	0	0
0.897274	1	0	0
0.915927	1	0	0
0.919713	1	0	0
0.904663	1	0	0
0.900537	1	0	0
0.912712	1	0	0
0.888869	1	0	0
0.890603	1	0	0
0.906664	1	0	0
0.886391	1	0	0
0.907326	1	0	0
0.895894	1	0	0
0.890197	1	0	0
0.899337	1	0	0
0.893279	1	0	0
0.896188	1	0	0
0.876041	1	0	0
0.903197	1	0	0
0.906319	1	0	0
0.91371	1	0.00625	1
0.920983	1	0	0
0.896081	1	0	0
0.891491	1	0	0
0.890624	1	0	0
0.881396	1	0	0
0.874318	1	0	0
0.889244	1	0	0
0.875418	1	0	0
0.886829	1	0	0
0.897487	1	0	0
0.883323	1	0	0
0.895932	1	0	0
0.903038	1	0	0
0.903054	1	0	0
0.902333	1	0	0
0.925082	1	0	0
0.900761	1	0	0
0.937841	1	0	0
0.894859	1	0	0
0.898926	1	0	0
0.900906	1	0	0
0.87257	1	0	0
0.912095	1	0	0
0.900609	1	0	0
0.908761	1	0	0
0.914626	1	0	0
0.875068	1	0	0
0.896434	1	0	0
0.88874	1	0	0
0.879527	1	0	0
0.887861	1	0	0
0.898986	1	0	0
0.883664	1	0	0
0.891112	1	0	0
0.905812	1	0	0
0.8838	1	0	0
0.876442	1	0	0
0.891086	1	0	0
0.904921	1	0	0
0.908653	1	0	0
