"MEASURE","P","R","F"
"top","0.4401","0.4962","0.4655"
"cc_w","0.4272","0.4831","0.4526"
"cc","0.4274","0.4823","0.4523"
"gaccs","0.4194","0.4733","0.4438"
"ccts_8_h3","0.414","0.4672","0.4381"
"ccts_3_h3","0.4118","0.466","0.4364"
"ccts_2_h3","0.4106","0.4641","0.4348"
"ccts_6_h3","0.4118","0.4636","0.4353"
"ccts_4_h3","0.4091","0.4632","0.4336"
"ccts_5_h3","0.4111","0.4626","0.4345"
"btw_w","0.4006","0.4568","0.426"
"btw","0.3983","0.4526","0.4228"
"ccts_8_h2","0.3982","0.4512","0.4223"
"ccts_6_h2","0.3939","0.4465","0.4177"
"ccts_1_h3","0.3951","0.4455","0.4179"
"ccts_7_h3","0.3944","0.445","0.4174"
"sym_h_m_h3","0.3926","0.4445","0.4161"
"ccts_5_h2","0.3933","0.4442","0.4164"
"sp","0.3905","0.4441","0.4148"
"ccts_2_h2","0.3944","0.4438","0.4168"
"sp_w2","0.3896","0.4436","0.414"
"sp_w","0.3896","0.4435","0.414"
"sym_h_b_h3","0.3923","0.4432","0.4154"
"ccts_1_h2","0.3932","0.4417","0.4152"
"ccts_4_h2","0.3911","0.4416","0.414"
"dg","0.3888","0.4411","0.4124"
"pr_w","0.3858","0.4409","0.4106"
"pr","0.3872","0.4402","0.4112"
"ccts_3_h2","0.3908","0.4402","0.4132"
"accs_h3","0.3876","0.4384","0.4106"
"stg","0.3841","0.4384","0.4087"
"random","0.3856","0.4358","0.4083"
"accs_h2","0.3877","0.4351","0.4093"
"sym_h_b_h2","0.3851","0.4345","0.4074"
"sym_h_m_h2","0.3845","0.4338","0.4068"
"ccts_7_h2","0.3822","0.4297","0.4038"
"sym_l_m_h2","0.3589","0.4066","0.3804"
"sym_l_b_h2","0.3586","0.406","0.38"
"sym_l_b_h3","0.3556","0.4009","0.3761"
"sym_l_m_h3","0.3555","0.4006","0.376"
