"MEASURE","P","R","F"
"top","0.4401","0.4963","0.4656"
"cc","0.4348","0.49","0.4599"
"gaccs","0.4323","0.4893","0.4581"
"cc_w","0.4348","0.4892","0.4595"
"ccts_4_h3","0.4232","0.4771","0.4477"
"ccts_2_h3","0.4237","0.477","0.448"
"ccts_3_h3","0.4219","0.4764","0.4466"
"ccts_8_h3","0.4205","0.4755","0.4454"
"ccts_6_h3","0.4208","0.4752","0.4455"
"ccts_5_h3","0.4207","0.4749","0.4453"
"btw_w","0.4147","0.472","0.4406"
"btw","0.4124","0.4677","0.4374"
"ccts_3_h2","0.4065","0.464","0.4324"
"ccts_4_h2","0.4078","0.4631","0.4328"
"ccts_2_h2","0.4083","0.463","0.4331"
"ccts_8_h2","0.4068","0.4601","0.4309"
"ccts_7_h3","0.4059","0.4582","0.4296"
"ccts_6_h2","0.4056","0.4578","0.4292"
"ccts_1_h3","0.4064","0.4575","0.4295"
"ccts_5_h2","0.4047","0.456","0.4279"
"sym_h_m_h3","0.4031","0.4543","0.4263"
"sym_h_b_h3","0.4038","0.4539","0.4265"
"dg","0.3978","0.4532","0.4228"
"ccts_1_h2","0.4006","0.4527","0.4241"
"pr","0.3971","0.4514","0.4217"
"pr_w","0.3961","0.4511","0.4209"
"accs_h3","0.3992","0.4505","0.4225"
"accs_h2","0.3963","0.4502","0.4206"
"stg","0.3942","0.45","0.4194"
"sp","0.3965","0.4483","0.42"
"sp_w2","0.3946","0.4461","0.418"
"sp_w","0.3947","0.446","0.418"
"sym_h_b_h2","0.3951","0.4456","0.4178"
"ccts_7_h2","0.392","0.4444","0.4156"
"sym_h_m_h2","0.393","0.4443","0.4161"
"random","0.3863","0.4357","0.4087"
"sym_l_b_h2","0.354","0.3992","0.3744"
"sym_l_m_h2","0.3538","0.3989","0.3742"
"sym_l_b_h3","0.351","0.3975","0.3719"
"sym_l_m_h3","0.3509","0.3973","0.3718"
