"MEASURE","P","R","F"
"btw_w","0.444","0.4772","0.4596"
"ccts_4_h3","0.4434","0.476","0.4588"
"ccts_2_h3","0.4434","0.476","0.4588"
"ccts_3_h3","0.4434","0.476","0.4588"
"sym_h_b_h3","0.4432","0.4759","0.4586"
"ccts_8_h3","0.4426","0.4759","0.4584"
"ccts_6_h3","0.4426","0.4759","0.4584"
"ccts_5_h3","0.4426","0.4759","0.4584"
"top","0.4422","0.4758","0.458"
"ccts_1_h3","0.443","0.4757","0.4584"
"ccts_2_h2","0.4402","0.4756","0.4569"
"ccts_7_h3","0.4432","0.4755","0.4585"
"ccts_6_h2","0.4432","0.4755","0.4585"
"ccts_8_h2","0.443","0.4751","0.4582"
"ccts_5_h2","0.4428","0.4747","0.4579"
"sym_h_m_h3","0.4417","0.4741","0.457"
"ccts_4_h2","0.4405","0.474","0.4563"
"ccts_3_h2","0.4401","0.4734","0.4558"
"cc","0.4378","0.4708","0.4533"
"ccts_1_h2","0.4359","0.4675","0.4508"
"sym_h_b_h2","0.4349","0.4672","0.4501"
"gaccs","0.4362","0.467","0.4508"
"ccts_7_h2","0.4334","0.4656","0.4486"
"btw","0.4322","0.4655","0.4479"
"accs_h2","0.4333","0.4637","0.4477"
"sp","0.43","0.4626","0.4454"
"sym_h_m_h2","0.4308","0.4615","0.4453"
"random","0.4254","0.4612","0.4421"
"dg","0.4288","0.461","0.444"
"accs_h3","0.4319","0.46","0.4452"
"cc_w","0.4282","0.4599","0.4431"
"sp_w2","0.4212","0.4574","0.4382"
"sp_w","0.4209","0.4573","0.438"
"pr","0.424","0.4556","0.4389"
"stg","0.4185","0.4536","0.4349"
"pr_w","0.4168","0.4519","0.4333"
"sym_l_b_h2","0.4168","0.4504","0.4326"
"sym_l_m_h2","0.414","0.4464","0.4293"
"sym_l_b_h3","0.4037","0.4356","0.4187"
"sym_l_m_h3","0.4033","0.4352","0.4183"
