"MEASURE","P","R","F"
"top","0.4401","0.4968","0.4658"
"dg","0.4186","0.4798","0.446"
"pr","0.4154","0.4779","0.4434"
"sp","0.4147","0.4774","0.4428"
"stg","0.4156","0.4769","0.4431"
"pr_w","0.415","0.4767","0.4426"
"btw","0.4137","0.4741","0.4408"
"gaccs","0.4135","0.4736","0.4407"
"sp_w","0.4101","0.4702","0.4372"
"sp_w2","0.409","0.4695","0.4362"
"btw_w","0.4092","0.4658","0.4347"
"accs_h2","0.4051","0.4635","0.4313"
"accs_h3","0.3934","0.4485","0.4183"
"ccts_8_h3","0.3962","0.4479","0.4196"
"ccts_5_h3","0.3964","0.4475","0.4196"
"ccts_6_h3","0.3915","0.4426","0.4147"
"sym_l_b_h2","0.3832","0.4376","0.4077"
"random","0.3847","0.4357","0.4078"
"ccts_3_h3","0.3839","0.4324","0.406"
"sym_h_m_h2","0.3785","0.4266","0.4003"
"sym_l_b_h3","0.3734","0.4258","0.397"
"ccts_1_h2","0.3784","0.4254","0.3998"
"ccts_4_h3","0.3765","0.4239","0.398"
"sym_h_m_h3","0.3773","0.4239","0.3984"
"ccts_2_h3","0.3754","0.422","0.3966"
"sym_l_m_h2","0.3686","0.42","0.3918"
"ccts_8_h2","0.3731","0.419","0.3939"
"sym_l_m_h3","0.368","0.4188","0.391"
"ccts_2_h2","0.3697","0.4142","0.39"
"cc","0.3664","0.4106","0.3864"
"cc_w","0.366","0.4106","0.3863"
"ccts_4_h2","0.3632","0.4077","0.3834"
"ccts_1_h3","0.3616","0.4066","0.3821"
"ccts_6_h2","0.3604","0.4044","0.3804"
"ccts_7_h3","0.3609","0.4039","0.3805"
"sym_h_b_h2","0.3602","0.4039","0.3802"
"ccts_3_h2","0.3595","0.4028","0.3793"
"sym_h_b_h3","0.3579","0.4018","0.3778"
"ccts_5_h2","0.3585","0.4011","0.3779"
"ccts_7_h2","0.3524","0.3956","0.3721"
