"MEASURE","P","R","F"
"top","0.4401","0.4962","0.4655"
"pr_w","0.4221","0.4839","0.45"
"stg","0.4199","0.481","0.4474"
"ccts_8_h3","0.4268","0.4803","0.4511"
"ccts_5_h3","0.4265","0.4803","0.4509"
"ccts_6_h3","0.4263","0.4797","0.4505"
"dg","0.4176","0.4776","0.4447"
"sp","0.4154","0.4768","0.4431"
"sp_w2","0.4166","0.4758","0.4431"
"gaccs","0.4148","0.4755","0.4422"
"sp_w","0.414","0.4748","0.4414"
"pr","0.4134","0.4719","0.4398"
"btw","0.4113","0.4706","0.4381"
"ccts_3_h3","0.4094","0.4627","0.4334"
"ccts_4_h3","0.406","0.4587","0.4298"
"ccts_2_h3","0.4047","0.4577","0.4286"
"sym_l_b_h2","0.4008","0.4572","0.4262"
"accs_h2","0.3974","0.4499","0.4211"
"sym_h_m_h3","0.3871","0.4372","0.4098"
"random","0.3841","0.4368","0.4079"
"sym_h_m_h2","0.3879","0.4364","0.4099"
"ccts_8_h2","0.3777","0.4281","0.4006"
"accs_h3","0.3747","0.4262","0.398"
"btw_w","0.3717","0.4262","0.3961"
"sym_l_m_h2","0.3775","0.4258","0.3994"
"ccts_7_h3","0.3755","0.4252","0.398"
"ccts_5_h2","0.3753","0.4243","0.3975"
"sym_h_b_h3","0.3759","0.4243","0.3979"
"ccts_1_h3","0.3761","0.4234","0.3976"
"ccts_6_h2","0.374","0.4224","0.396"
"sym_l_m_h3","0.3624","0.4135","0.3854"
"sym_l_b_h3","0.3614","0.4114","0.3839"
"cc_w","0.3626","0.4073","0.3829"
"sym_h_b_h2","0.3624","0.4048","0.3818"
"ccts_3_h2","0.3562","0.4037","0.3776"
"ccts_1_h2","0.3604","0.4004","0.3787"
"cc","0.3583","0.4","0.3773"
"ccts_2_h2","0.3521","0.3972","0.3725"
"ccts_4_h2","0.3496","0.3958","0.3705"
"ccts_7_h2","0.3491","0.3914","0.3684"
