"MEASURE","P","R","F"
"top","0.4401","0.4963","0.4656"
"ccts_8_h3","0.4393","0.4954","0.4648"
"ccts_6_h3","0.4393","0.4954","0.4648"
"ccts_5_h3","0.4393","0.4954","0.4648"
"ccts_3_h3","0.437","0.493","0.4624"
"ccts_4_h3","0.4368","0.4929","0.4623"
"ccts_2_h3","0.4368","0.4929","0.4622"
"sym_h_m_h3","0.4278","0.4846","0.4536"
"ccts_1_h3","0.427","0.4845","0.4531"
"ccts_8_h2","0.427","0.4841","0.4529"
"ccts_6_h2","0.4268","0.484","0.4527"
"ccts_7_h3","0.4261","0.4833","0.4521"
"ccts_5_h2","0.4253","0.4825","0.4513"
"sym_h_b_h3","0.4248","0.4818","0.4507"
"sym_h_m_h2","0.4167","0.4679","0.44"
"dg","0.4066","0.4621","0.4317"
"sp","0.407","0.4619","0.4319"
"gaccs","0.4061","0.4598","0.4304"
"sp_w","0.4027","0.4558","0.4267"
"sp_w2","0.4013","0.4537","0.425"
"stg","0.4005","0.4532","0.4243"
"btw","0.3982","0.4514","0.4223"
"pr","0.4","0.4514","0.4234"
"pr_w","0.4006","0.4513","0.4236"
"sym_l_b_h2","0.3873","0.4405","0.4113"
"accs_h2","0.3861","0.4371","0.4092"
"ccts_3_h2","0.3873","0.4349","0.409"
"random","0.3843","0.433","0.4064"
"btw_w","0.3803","0.4308","0.403"
"accs_h3","0.3792","0.4302","0.4024"
"sym_l_m_h2","0.3769","0.4282","0.4"
"ccts_4_h2","0.3765","0.4262","0.3991"
"ccts_2_h2","0.3758","0.4249","0.3981"
"sym_h_b_h2","0.3747","0.4216","0.396"
"ccts_7_h2","0.3738","0.4215","0.3954"
"ccts_1_h2","0.373","0.4213","0.3949"
"cc","0.3662","0.4162","0.3888"
"cc_w","0.3636","0.413","0.3859"
"sym_l_b_h3","0.3471","0.3931","0.3679"
"sym_l_m_h3","0.347","0.3929","0.3677"
