"MEASURE","P","R","F"
"ccts_5_h3","0.4397","0.4964","0.4654"
"top","0.4401","0.4963","0.4656"
"ccts_8_h3","0.4397","0.496","0.4653"
"ccts_6_h3","0.4397","0.496","0.4653"
"ccts_3_h3","0.4355","0.492","0.4612"
"ccts_4_h3","0.4353","0.4915","0.4608"
"ccts_2_h3","0.4353","0.4915","0.4608"
"ccts_8_h2","0.4221","0.4763","0.4468"
"ccts_1_h3","0.4214","0.476","0.4463"
"ccts_7_h3","0.4212","0.4756","0.446"
"ccts_6_h2","0.4212","0.4756","0.446"
"ccts_5_h2","0.4204","0.4753","0.4454"
"sym_h_m_h3","0.4198","0.4739","0.4445"
"sym_h_b_h3","0.4176","0.4729","0.4428"
"sym_h_m_h2","0.4133","0.4646","0.4367"
"dg","0.409","0.4639","0.4338"
"sp","0.4087","0.4628","0.4332"
"gaccs","0.4072","0.4602","0.4312"
"sp_w2","0.4011","0.4561","0.4259"
"pr_w","0.4006","0.4552","0.4251"
"sp_w","0.3996","0.4549","0.4245"
"stg","0.4001","0.4541","0.4244"
"pr","0.3999","0.4538","0.4243"
"btw","0.3976","0.4522","0.4222"
"sym_l_b_h2","0.3945","0.448","0.4185"
"btw_w","0.3853","0.4368","0.4086"
"accs_h2","0.3827","0.4341","0.4059"
"random","0.384","0.4324","0.4059"
"sym_l_m_h2","0.3805","0.4296","0.4027"
"ccts_3_h2","0.3822","0.429","0.4034"
"accs_h3","0.3791","0.4263","0.4005"
"sym_h_b_h2","0.3749","0.423","0.3968"
"ccts_7_h2","0.3743","0.4209","0.3956"
"ccts_1_h2","0.3709","0.4198","0.393"
"ccts_4_h2","0.3723","0.4186","0.3934"
"ccts_2_h2","0.3713","0.4185","0.3927"
"cc","0.369","0.4144","0.3895"
"cc_w","0.3684","0.4126","0.3885"
"sym_l_b_h3","0.3484","0.3935","0.3688"
"sym_l_m_h3","0.3479","0.3929","0.3683"
