"MEASURE","P","R","F"
"btw_w","0.4407","0.4785","0.4585"
"sp","0.4412","0.4771","0.458"
"ccts_4_h3","0.4419","0.4771","0.4585"
"ccts_2_h3","0.4419","0.4771","0.4585"
"btw","0.4399","0.477","0.4574"
"accs_h2","0.4459","0.477","0.4606"
"dg","0.4429","0.4769","0.4588"
"top","0.4422","0.4758","0.458"
"ccts_3_h3","0.4421","0.4754","0.4578"
"ccts_8_h3","0.4411","0.4745","0.4569"
"ccts_6_h3","0.4411","0.4745","0.4569"
"ccts_5_h3","0.4411","0.4745","0.4569"
"ccts_1_h3","0.4406","0.4742","0.4565"
"ccts_3_h2","0.4365","0.4741","0.4541"
"ccts_6_h2","0.4406","0.4739","0.4564"
"ccts_5_h2","0.4394","0.4733","0.4555"
"sym_h_m_h3","0.4419","0.473","0.4566"
"ccts_8_h2","0.4394","0.4728","0.4552"
"ccts_2_h2","0.4341","0.4725","0.4521"
"ccts_7_h3","0.4397","0.4722","0.4551"
"gaccs","0.4404","0.4722","0.4553"
"ccts_4_h2","0.4345","0.4721","0.4522"
"sym_h_m_h2","0.4418","0.4713","0.4558"
"sym_h_b_h3","0.4381","0.4708","0.4536"
"ccts_1_h2","0.4359","0.4701","0.452"
"pr","0.4369","0.4693","0.4522"
"accs_h3","0.4347","0.4687","0.4507"
"ccts_7_h2","0.4331","0.466","0.4486"
"sym_h_b_h2","0.4332","0.4651","0.4482"
"cc","0.4312","0.4608","0.4452"
"random","0.4246","0.4579","0.4402"
"sp_w","0.4232","0.4571","0.4391"
"sym_l_b_h2","0.4221","0.4567","0.4383"
"stg","0.423","0.4564","0.4388"
"sp_w2","0.423","0.4559","0.4385"
"pr_w","0.4219","0.4554","0.4377"
"sym_l_m_h2","0.4112","0.4459","0.4275"
"cc_w","0.4159","0.4457","0.4299"
"sym_l_b_h3","0.4077","0.4384","0.4222"
"sym_l_m_h3","0.4048","0.436","0.4195"
