"MEASURE","P","R","F"
"ccts_2_h3","0.4448","0.48","0.4614"
"ccts_4_h3","0.4444","0.4798","0.4611"
"ccts_3_h3","0.4435","0.4771","0.4593"
"top","0.4422","0.4758","0.458"
"ccts_6_h2","0.4404","0.4752","0.4568"
"sym_h_b_h3","0.4393","0.4749","0.456"
"ccts_5_h3","0.4414","0.4749","0.4572"
"btw_w","0.4331","0.4745","0.4524"
"ccts_8_h3","0.4419","0.4742","0.4572"
"ccts_1_h3","0.4411","0.4737","0.4565"
"ccts_6_h3","0.4417","0.4737","0.4568"
"ccts_7_h3","0.4393","0.4734","0.4553"
"ccts_8_h2","0.438","0.4715","0.4538"
"sym_h_m_h3","0.4367","0.4711","0.4529"
"ccts_5_h2","0.4358","0.4702","0.452"
"ccts_3_h2","0.4312","0.4683","0.4485"
"ccts_1_h2","0.4303","0.4679","0.4478"
"ccts_2_h2","0.4302","0.4658","0.4468"
"cc_w","0.4302","0.4656","0.4467"
"sym_h_b_h2","0.4304","0.4644","0.4464"
"btw","0.4285","0.4639","0.4451"
"cc","0.4316","0.4636","0.4466"
"sym_l_m_h2","0.4283","0.463","0.4446"
"sp","0.4285","0.4626","0.4445"
"accs_h3","0.4304","0.4626","0.4456"
"ccts_4_h2","0.429","0.4625","0.4447"
"sym_h_m_h2","0.43","0.4616","0.4449"
"ccts_7_h2","0.4309","0.4595","0.4444"
"random","0.4257","0.459","0.4413"
"gaccs","0.4235","0.4589","0.4401"
"sp_w","0.424","0.4583","0.4402"
"sp_w2","0.424","0.4582","0.4401"
"accs_h2","0.4229","0.4576","0.4393"
"dg","0.4243","0.4572","0.4398"
"pr_w","0.4212","0.4555","0.4373"
"pr","0.4248","0.4549","0.4391"
"sym_l_b_h2","0.4248","0.4545","0.4388"
"stg","0.4194","0.4514","0.4344"
"sym_l_m_h3","0.4065","0.4373","0.421"
"sym_l_b_h3","0.4059","0.435","0.4197"
