"MEASURE","P","R","F"
"btw","0.4372","0.4768","0.4556"
"pr","0.4374","0.4759","0.4553"
"top","0.4421","0.4757","0.458"
"pr_w","0.4381","0.4755","0.4556"
"sp","0.4394","0.475","0.4561"
"dg","0.4382","0.4748","0.4553"
"gaccs","0.4361","0.4738","0.4538"
"stg","0.4346","0.4734","0.4528"
"sp_w2","0.434","0.473","0.4523"
"sp_w","0.4346","0.4729","0.4525"
"sym_l_b_h2","0.4315","0.4698","0.4494"
"btw_w","0.4301","0.4664","0.4472"
"ccts_5_h3","0.4309","0.4657","0.4473"
"ccts_6_h3","0.4303","0.4647","0.4466"
"ccts_8_h3","0.4286","0.4632","0.445"
"accs_h2","0.4273","0.4602","0.4428"
"accs_h3","0.4229","0.4587","0.4397"
"ccts_4_h3","0.4233","0.4573","0.4392"
"ccts_3_h3","0.4256","0.4573","0.4406"
"ccts_1_h2","0.4234","0.4568","0.4392"
"sym_l_b_h3","0.4188","0.4558","0.4361"
"ccts_8_h2","0.4194","0.4556","0.4364"
"sym_l_m_h2","0.4206","0.4556","0.4369"
"sym_h_m_h3","0.4214","0.455","0.4372"
"sym_h_m_h2","0.4194","0.4546","0.4358"
"ccts_4_h2","0.4198","0.4544","0.4361"
"cc","0.4197","0.4541","0.4358"
"ccts_2_h3","0.4223","0.4541","0.4373"
"cc_w","0.4223","0.4518","0.4363"
"ccts_2_h2","0.4214","0.4514","0.4356"
"ccts_1_h3","0.4174","0.4498","0.4326"
"ccts_5_h2","0.4151","0.4494","0.4312"
"sym_l_m_h3","0.4162","0.4492","0.4317"
"random","0.4164","0.4491","0.4318"
"ccts_6_h2","0.4155","0.4491","0.4313"
"ccts_3_h2","0.4158","0.4491","0.4315"
"ccts_7_h3","0.4141","0.4484","0.4302"
"sym_h_b_h2","0.4159","0.4478","0.4309"
"ccts_7_h2","0.4131","0.4473","0.4292"
"sym_h_b_h3","0.4121","0.4465","0.4283"
