"MEASURE","P","R","F"
"dg","0.44","0.4834","0.4602"
"sp","0.4386","0.4826","0.4591"
"pr","0.4432","0.4813","0.461"
"btw","0.4431","0.4808","0.4607"
"sp_w","0.437","0.4802","0.4571"
"gaccs","0.4413","0.4794","0.4591"
"pr_w","0.4421","0.4788","0.4594"
"stg","0.4383","0.4767","0.4563"
"top","0.4422","0.4758","0.458"
"sym_l_b_h2","0.4389","0.4746","0.4557"
"sp_w2","0.4353","0.4734","0.4531"
"ccts_3_h3","0.4378","0.4704","0.4531"
"btw_w","0.4282","0.4699","0.4477"
"accs_h2","0.4317","0.4694","0.4494"
"ccts_6_h3","0.4378","0.4686","0.4524"
"ccts_5_h3","0.4372","0.4686","0.4521"
"ccts_8_h3","0.437","0.4679","0.4517"
"ccts_4_h3","0.4316","0.4672","0.4484"
"ccts_2_h3","0.4329","0.4663","0.4487"
"random","0.4296","0.4619","0.4448"
"sym_h_m_h2","0.4225","0.457","0.4386"
"sym_l_m_h3","0.4201","0.4564","0.4371"
"sym_h_m_h3","0.4221","0.4558","0.438"
"sym_l_b_h3","0.4186","0.4548","0.4356"
"accs_h3","0.4213","0.454","0.4367"
"ccts_5_h2","0.4196","0.4533","0.4355"
"sym_h_b_h3","0.4199","0.4526","0.4354"
"cc_w","0.4175","0.4524","0.4338"
"ccts_7_h3","0.4175","0.4523","0.4339"
"ccts_1_h2","0.4207","0.4522","0.4356"
"ccts_8_h2","0.4182","0.4517","0.434"
"ccts_1_h3","0.4164","0.4504","0.4324"
"cc","0.4182","0.4492","0.4328"
"ccts_6_h2","0.4146","0.4487","0.4307"
"sym_l_m_h2","0.4166","0.4486","0.4317"
"sym_h_b_h2","0.4161","0.4472","0.4309"
"ccts_2_h2","0.4126","0.4433","0.427"
"ccts_3_h2","0.4093","0.4415","0.4245"
"ccts_4_h2","0.4085","0.4409","0.4238"
"ccts_7_h2","0.4049","0.4374","0.4202"
