"MEASURE","P","R","F"
"top","0.4401","0.4963","0.4656"
"ccts_8_h3","0.4397","0.4959","0.4652"
"ccts_6_h3","0.4397","0.4959","0.4652"
"ccts_5_h3","0.4397","0.4959","0.4652"
"ccts_3_h3","0.4392","0.4949","0.4645"
"ccts_4_h3","0.4391","0.4948","0.4644"
"ccts_2_h3","0.439","0.4947","0.4643"
"ccts_8_h2","0.4359","0.4918","0.4612"
"ccts_1_h3","0.4357","0.4918","0.4611"
"ccts_7_h3","0.4356","0.4917","0.4611"
"sym_h_m_h3","0.4356","0.4917","0.4611"
"ccts_6_h2","0.4358","0.4916","0.4612"
"ccts_5_h2","0.4349","0.4909","0.4603"
"sym_h_b_h3","0.4346","0.4904","0.4599"
"stg","0.4193","0.4811","0.4472"
"pr_w","0.4187","0.481","0.4467"
"sp_w2","0.4153","0.476","0.4425"
"sp","0.4111","0.4723","0.4387"
"dg","0.4108","0.472","0.4384"
"sp_w","0.4097","0.4718","0.4376"
"gaccs","0.4077","0.468","0.4349"
"btw","0.4059","0.4642","0.4322"
"sym_h_m_h2","0.402","0.4524","0.4249"
"pr","0.395","0.451","0.4201"
"random","0.3822","0.4306","0.4041"
"ccts_3_h2","0.3812","0.429","0.403"
"accs_h2","0.3785","0.4275","0.4007"
"cc","0.3793","0.4261","0.4005"
"cc_w","0.3777","0.4247","0.3991"
"accs_h3","0.3774","0.4246","0.3989"
"sym_l_b_h2","0.3711","0.4232","0.3946"
"ccts_2_h2","0.3743","0.422","0.3961"
"ccts_4_h2","0.3731","0.4208","0.3948"
"sym_l_m_h2","0.3678","0.4173","0.3902"
"btw_w","0.3674","0.4167","0.3897"
"ccts_1_h2","0.3698","0.4149","0.3903"
"sym_h_b_h2","0.3661","0.4113","0.3867"
"ccts_7_h2","0.359","0.402","0.3786"
"sym_l_b_h3","0.3454","0.3919","0.3664"
"sym_l_m_h3","0.3452","0.3916","0.3661"
