"Inter-edge Weight MLN","Measurement","0.1","0.2","0.3","0.4","0.5"
"0.5","at","0.5456","0.5441","0.5454","0.5354","0.5395"
"0.5","dg","0.5525","0.5457","0.5555","0.5468","0.5492"
"0.5","gaccs","0.552","0.5493","0.5616","0.5521","0.5603"
"0.5","pr","0.5583","0.5585","0.5588","0.5444","0.5524"
"0.5","pr_w","0.5557","0.5557","0.5557","0.5557","0.5557"
"0.5","sp","0.5506","0.5537","0.5617","0.5442","0.5568"
"0.5","sp_w","0.5604","0.5604","0.5604","0.5604","0.5604"
"0.5","stg","0.5517","0.5517","0.5517","0.5517","0.5517"
"0.6","at","0.5472","0.5524","0.5463","0.537","0.5409"
"0.6","dg","0.5556","0.5475","0.5569","0.557","0.551"
"0.6","gaccs","0.5529","0.5504","0.5579","0.5608","0.5473"
"0.6","pr","0.557","0.5624","0.5604","0.5416","0.5551"
"0.6","pr_w","0.5595","0.5595","0.5595","0.5595","0.5595"
"0.6","sp","0.5541","0.553","0.5582","0.5503","0.5594"
"0.6","sp_w","0.5605","0.5605","0.5605","0.5605","0.5605"
"0.6","stg","0.5531","0.5531","0.5531","0.5531","0.5531"
"0.7","at","0.5536","0.5506","0.5478","0.55","0.5409"
"0.7","dg","0.5558","0.556","0.559","0.5642","0.5502"
"0.7","gaccs","0.5545","0.5605","0.5629","0.5591","0.5478"
"0.7","pr","0.5536","0.5535","0.5641","0.5561","0.5527"
"0.7","pr_w","0.5584","0.5584","0.5584","0.5584","0.5584"
"0.7","sp","0.5567","0.563","0.555","0.561","0.5647"
"0.7","sp_w","0.5614","0.5614","0.5614","0.5614","0.5614"
"0.7","stg","0.5612","0.5612","0.5612","0.5612","0.5612"
"0.8","at","0.5594","0.5457","0.5557","0.5569","0.5514"
"0.8","dg","0.5499","0.5542","0.5683","0.5755","0.5587"
"0.8","gaccs","0.5511","0.5618","0.5637","0.5637","0.56"
"0.8","pr","0.5467","0.5628","0.5554","0.5597","0.554"
"0.8","pr_w","0.5595","0.5595","0.5595","0.5595","0.5595"
"0.8","sp","0.5514","0.5586","0.5674","0.5656","0.5617"
"0.8","sp_w","0.5613","0.5613","0.5613","0.5613","0.5613"
"0.8","stg","0.5708","0.5708","0.5708","0.5708","0.5708"
"0.9","at","0.5604","0.5504","0.5617","0.5566","0.5446"
"0.9","dg","0.5452","0.5531","0.5627","0.5707","0.5534"
"0.9","gaccs","0.5517","0.5654","0.567","0.565","0.5424"
"0.9","pr","0.5458","0.5618","0.5655","0.5552","0.5514"
"0.9","pr_w","0.5611","0.5611","0.5611","0.5611","0.5611"
"0.9","sp","0.547","0.5639","0.5646","0.564","0.5516"
"0.9","sp_w","0.5624","0.5624","0.5624","0.5624","0.5624"
"0.9","stg","0.5632","0.5632","0.5632","0.5632","0.5632"
