Inter-edge Weight MLN,Measurement,0.1,0.2,0.3,0.4,0.5
0.5,accs_h2,0.51,0.5279,0.5084,0.524,0.5291
0.5,accs_h3,0.493,0.4939,0.4928,0.5201,0.5127
0.6,accs_h2,0.5055,0.5287,0.508,0.5221,0.5252
0.6,accs_h3,0.49,0.5002,0.491,0.5096,0.5043
0.7,accs_h2,0.5036,0.524,0.5123,0.533,0.5329
0.7,accs_h3,0.4831,0.5011,0.4934,0.4939,0.5143
0.8,accs_h2,0.5059,0.5204,0.5164,0.5188,0.5287
0.8,accs_h3,0.4748,0.4979,0.4889,0.4846,0.512
0.9,accs_h2,0.5047,0.5227,0.5299,0.5292,0.5294
0.9,accs_h3,0.4805,0.4858,0.4977,0.4924,0.4977
1,accs_h2,0.4963,0.4963,0.4963,0.4963,0.4963
1,accs_h3,0.4642,0.4642,0.4642,0.4642,0.4642
1.1,accs_h2,0.5092,0.5113,0.5201,0.5272,0.541
1.1,accs_h3,0.4838,0.4937,0.4901,0.4943,0.5065
1.3,accs_h2,0.5123,0.5226,0.513,0.532,0.5241
1.3,accs_h3,0.4825,0.4862,0.4832,0.5019,0.4927
1.5,accs_h2,0.5041,0.5147,0.5255,0.5223,0.5214
1.5,accs_h3,0.4787,0.4739,0.4916,0.4905,0.5167
1.7,accs_h2,0.4956,0.5245,0.5237,0.5036,0.5318
1.7,accs_h3,0.4617,0.4748,0.5039,0.4827,0.5093
1.9,accs_h2,0.4998,0.5099,0.5028,0.5049,0.5218
1.9,accs_h3,0.4683,0.4799,0.4969,0.49,0.5047
