Inter-edge Weight MLN,Measurement,0.1,0.2,0.3,0.4,0.5
0.5,at,0.5456,0.5441,0.5454,0.5354,0.5395
0.5,dg,0.5525,0.5457,0.5555,0.5468,0.5492
0.5,gaccs,0.552,0.5493,0.5616,0.5521,0.5603
0.5,pr,0.5583,0.5585,0.5588,0.5444,0.5524
0.5,pr_w,0.5557,0.5557,0.5557,0.5557,0.5557
0.5,sp,0.5506,0.5537,0.5617,0.5442,0.5568
0.5,sp_w,0.5604,0.5604,0.5604,0.5604,0.5604
0.5,stg,0.5517,0.5517,0.5517,0.5517,0.5517
0.5,sym_l_b_h2,0.5386,0.5142,0.5154,0.5002,0.4978
0.5,sym_h_b_h2,0.4484,0.4616,0.4669,0.4584,0.4473
0.5,accs_h2,0.513,0.5217,0.5095,0.5285,0.5262
0.6,at,0.5472,0.5524,0.5463,0.537,0.5409
0.6,dg,0.5556,0.5475,0.5569,0.557,0.551
0.6,gaccs,0.5529,0.5504,0.5579,0.5608,0.5473
0.6,pr,0.557,0.5624,0.5604,0.5416,0.5551
0.6,pr_w,0.5595,0.5595,0.5595,0.5595,0.5595
0.6,sp,0.5541,0.553,0.5582,0.5503,0.5594
0.6,sp_w,0.5605,0.5605,0.5605,0.5605,0.5605
0.6,stg,0.5531,0.5531,0.5531,0.5531,0.5531
0.6,sym_l_b_h2,0.5335,0.5215,0.5248,0.4923,0.4954
0.6,sym_h_b_h2,0.4512,0.4628,0.47,0.4614,0.4504
0.6,accs_h2,0.51,0.5272,0.5173,0.5252,0.5156
0.7,at,0.5536,0.5506,0.5478,0.55,0.5409
0.7,dg,0.5558,0.556,0.559,0.5642,0.5502
0.7,gaccs,0.5545,0.5605,0.5629,0.5591,0.5478
0.7,pr,0.5536,0.5535,0.5641,0.5561,0.5527
0.7,pr_w,0.5584,0.5584,0.5584,0.5584,0.5584
0.7,sp,0.5567,0.563,0.555,0.561,0.5647
0.7,sp_w,0.5614,0.5614,0.5614,0.5614,0.5614
0.7,stg,0.5612,0.5612,0.5612,0.5612,0.5612
0.7,sym_l_b_h2,0.5432,0.5204,0.5137,0.5117,0.5028
0.7,sym_h_b_h2,0.4455,0.4659,0.4669,0.4602,0.4402
0.7,accs_h2,0.5069,0.5334,0.5157,0.5352,0.5281
0.8,at,0.5594,0.5457,0.5557,0.5569,0.5514
0.8,dg,0.5499,0.5542,0.5683,0.5755,0.5587
0.8,gaccs,0.5511,0.5618,0.5637,0.5637,0.56
0.8,pr,0.5467,0.5628,0.5554,0.5597,0.554
0.8,pr_w,0.5595,0.5595,0.5595,0.5595,0.5595
0.8,sp,0.5514,0.5586,0.5674,0.5656,0.5617
0.8,sp_w,0.5613,0.5613,0.5613,0.5613,0.5613
0.8,stg,0.5708,0.5708,0.5708,0.5708,0.5708
0.8,sym_l_b_h2,0.5379,0.5114,0.5168,0.5047,0.4947
0.8,sym_h_b_h2,0.4477,0.4601,0.4731,0.4506,0.4455
0.8,accs_h2,0.5036,0.5288,0.5114,0.5247,0.5276
0.9,at,0.5604,0.5504,0.5617,0.5566,0.5446
0.9,dg,0.5452,0.5531,0.5627,0.5707,0.5534
0.9,gaccs,0.5517,0.5654,0.567,0.565,0.5424
0.9,pr,0.5458,0.5618,0.5655,0.5552,0.5514
0.9,pr_w,0.5611,0.5611,0.5611,0.5611,0.5611
0.9,sp,0.547,0.5639,0.5646,0.564,0.5516
0.9,sp_w,0.5624,0.5624,0.5624,0.5624,0.5624
0.9,stg,0.5632,0.5632,0.5632,0.5632,0.5632
0.9,sym_l_b_h2,0.5397,0.5289,0.5041,0.5071,0.4964
0.9,sym_h_b_h2,0.4415,0.4502,0.4489,0.4416,0.4469
0.9,accs_h2,0.5057,0.531,0.5308,0.5345,0.5356
1,at,0.5477,0.5477,0.5477,0.5477,0.5477
1,dg,0.5439,0.5439,0.5439,0.5439,0.5439
1,gaccs,0.5492,0.5492,0.5492,0.5492,0.5492
1,pr,0.5412,0.5412,0.5412,0.5412,0.5412
1,pr_w,0.5536,0.5536,0.5536,0.5536,0.5536
1,sp,0.5435,0.5435,0.5435,0.5435,0.5435
1,sp_w,0.5574,0.5574,0.5574,0.5574,0.5574
1,stg,0.5482,0.5482,0.5482,0.5482,0.5482
1,sym_l_b_h2,0.5605,0.5605,0.5605,0.5605,0.5605
1,sym_h_b_h2,0.4498,0.4498,0.4498,0.4498,0.4498
1,accs_h2,0.4943,0.4943,0.4943,0.4943,0.4943
1.1,at,0.5551,0.5615,0.5537,0.5532,0.549
1.1,dg,0.5506,0.5534,0.5614,0.562,0.5448
1.1,gaccs,0.5521,0.5666,0.5632,0.5651,0.5394
1.1,pr,0.5583,0.5507,0.5586,0.5674,0.5566
1.1,pr_w,0.565,0.565,0.565,0.565,0.565
1.1,sp,0.5562,0.5675,0.5562,0.564,0.5364
1.1,sp_w,0.5654,0.5654,0.5654,0.5654,0.5654
1.1,stg,0.5631,0.5631,0.5631,0.5631,0.5631
1.1,sym_l_b_h2,0.5315,0.5331,0.5118,0.5117,0.4953
1.1,sym_h_b_h2,0.4463,0.4506,0.4376,0.4505,0.4448
1.1,accs_h2,0.5093,0.5145,0.5224,0.5259,0.5345
1.3,at,0.5558,0.5645,0.5567,0.5537,0.552
1.3,dg,0.5535,0.5555,0.5534,0.5702,0.5458
1.3,gaccs,0.5512,0.5646,0.558,0.5626,0.547
1.3,pr,0.5522,0.55,0.556,0.5711,0.5506
1.3,pr_w,0.5659,0.5659,0.5659,0.5659,0.5659
1.3,sp,0.5533,0.5622,0.5562,0.5625,0.5422
1.3,sp_w,0.5727,0.5727,0.5727,0.5727,0.5727
1.3,stg,0.5646,0.5646,0.5646,0.5646,0.5646
1.3,sym_l_b_h2,0.5332,0.5186,0.5213,0.5057,0.5071
1.3,sym_h_b_h2,0.4414,0.4628,0.4294,0.4535,0.4372
1.3,accs_h2,0.5121,0.5198,0.5117,0.5321,0.5208
1.5,at,0.5558,0.5619,0.5588,0.557,0.5534
1.5,dg,0.5519,0.5586,0.5655,0.5613,0.5572
1.5,gaccs,0.5497,0.5626,0.5696,0.5638,0.5525
1.5,pr,0.5573,0.5503,0.5649,0.5722,0.5552
1.5,pr_w,0.5664,0.5664,0.5664,0.5664,0.5664
1.5,sp,0.5527,0.5582,0.5613,0.5695,0.5569
1.5,sp_w,0.5747,0.5747,0.5747,0.5747,0.5747
1.5,stg,0.5626,0.5626,0.5626,0.5626,0.5626
1.5,sym_l_b_h2,0.5294,0.5151,0.5215,0.5012,0.5145
1.5,sym_h_b_h2,0.4419,0.4564,0.4417,0.4517,0.4392
1.5,accs_h2,0.5077,0.5171,0.5317,0.5256,0.5268
1.7,at,0.5588,0.5581,0.5628,0.5605,0.5547
1.7,dg,0.5549,0.5566,0.5653,0.5581,0.5461
1.7,gaccs,0.5566,0.5596,0.5638,0.5577,0.5456
1.7,pr,0.5531,0.5578,0.5624,0.5639,0.5576
1.7,pr_w,0.5677,0.5677,0.5677,0.5677,0.5677
1.7,sp,0.5565,0.556,0.5672,0.562,0.5536
1.7,sp_w,0.5736,0.5736,0.5736,0.5736,0.5736
1.7,stg,0.5618,0.5618,0.5618,0.5618,0.5618
1.7,sym_l_b_h2,0.5215,0.5331,0.5294,0.51,0.5075
1.7,sym_h_b_h2,0.4389,0.4473,0.4449,0.4506,0.437
1.7,accs_h2,0.4943,0.523,0.5325,0.5068,0.5265
1.9,at,0.5585,0.5592,0.5616,0.5562,0.5546
1.9,dg,0.5651,0.5561,0.5602,0.5545,0.5503
1.9,gaccs,0.5624,0.5599,0.5659,0.5504,0.5525
1.9,pr,0.5632,0.5538,0.5604,0.5414,0.5624
1.9,pr_w,0.565,0.565,0.565,0.565,0.565
1.9,sp,0.5675,0.5537,0.5634,0.5641,0.5625
1.9,sp_w,0.5737,0.5737,0.5737,0.5737,0.5737
1.9,stg,0.5616,0.5616,0.5616,0.5616,0.5616
1.9,sym_l_b_h2,0.523,0.5317,0.5305,0.5118,0.5029
1.9,sym_h_b_h2,0.4493,0.4587,0.4432,0.455,0.4364
1.9,accs_h2,0.4967,0.5101,0.5089,0.5068,0.5211
