"Inter-edge Weight MLN","Measurement","0.1","0.2","0.3","0.4","0.5"
"0.5","sym_h_b_h2","0.4484","0.4616","0.4669","0.4584","0.4473"
"0.5","sym_l_b_h2","0.5386","0.5142","0.5154","0.5002","0.4978"
"0.6","sym_h_b_h2","0.4512","0.4628","0.47","0.4614","0.4504"
"0.6","sym_l_b_h2","0.5335","0.5215","0.5248","0.4923","0.4954"
"0.7","sym_h_b_h2","0.4455","0.4659","0.4669","0.4602","0.4402"
"0.7","sym_l_b_h2","0.5432","0.5204","0.5137","0.5117","0.5028"
"0.8","sym_h_b_h2","0.4477","0.4601","0.4731","0.4506","0.4455"
"0.8","sym_l_b_h2","0.5379","0.5114","0.5168","0.5047","0.4947"
"0.9","sym_h_b_h2","0.4415","0.4502","0.4489","0.4416","0.4469"
"0.9","sym_l_b_h2","0.5397","0.5289","0.5041","0.5071","0.4964"
"1.1","sym_h_b_h2","0.4463","0.4506","0.4376","0.4505","0.4448"
"1.1","sym_l_b_h2","0.5315","0.5331","0.5118","0.5117","0.4953"
"1.3","sym_h_b_h2","0.4414","0.4628","0.4294","0.4535","0.4372"
"1.3","sym_l_b_h2","0.5332","0.5186","0.5213","0.5057","0.5071"
"1.5","sym_h_b_h2","0.4419","0.4564","0.4417","0.4517","0.4392"
"1.5","sym_l_b_h2","0.5294","0.5151","0.5215","0.5012","0.5145"
"1.7","sym_h_b_h2","0.4389","0.4473","0.4449","0.4506","0.437"
"1.7","sym_l_b_h2","0.5215","0.5331","0.5294","0.51","0.5075"
"1.9","sym_h_b_h2","0.4493","0.4587","0.4432","0.455","0.4364"
"1.9","sym_l_b_h2","0.523","0.5317","0.5305","0.5118","0.5029"
