Inter-edge Weight MLN,Measurement,0.1,0.2,0.3,0.4,0.5
0.5,sym_h_b_h2,0.4444,0.4535,0.469,0.4611,0.4507
0.5,sym_h_b_h3,0.484,0.4635,0.4496,0.4305,0.442
0.5,sym_h_m_h2,0.4988,0.4858,0.468,0.4815,0.4602
0.5,sym_h_m_h3,0.4881,0.4904,0.4602,0.4482,0.4518
0.5,sym_l_b_h2,0.5401,0.5134,0.5046,0.4952,0.493
0.5,sym_l_b_h3,0.4869,0.5043,0.5257,0.526,0.5121
0.5,sym_l_m_h2,0.5088,0.4953,0.5203,0.4933,0.5111
0.5,sym_l_m_h3,0.4848,0.4979,0.5154,0.5212,0.5133
0.6,sym_h_b_h2,0.4518,0.4624,0.4732,0.4693,0.4481
0.6,sym_h_b_h3,0.4844,0.4643,0.4438,0.4362,0.4442
0.6,sym_h_m_h2,0.4854,0.4812,0.478,0.479,0.4671
0.6,sym_h_m_h3,0.4893,0.483,0.4683,0.4747,0.4563
0.6,sym_l_b_h2,0.5366,0.5146,0.5252,0.4954,0.4911
0.6,sym_l_b_h3,0.4908,0.5018,0.5184,0.5192,0.5034
0.6,sym_l_m_h2,0.5118,0.505,0.5103,0.513,0.4935
0.6,sym_l_m_h3,0.4887,0.4981,0.5124,0.516,0.5036
0.7,sym_h_b_h2,0.4443,0.4674,0.4692,0.4634,0.4406
0.7,sym_h_b_h3,0.4879,0.4638,0.4473,0.4307,0.4448
0.7,sym_h_m_h2,0.4816,0.4827,0.4784,0.4806,0.4696
0.7,sym_h_m_h3,0.4887,0.4779,0.468,0.4557,0.4595
0.7,sym_l_b_h2,0.5482,0.5165,0.5111,0.5126,0.5103
0.7,sym_l_b_h3,0.4956,0.4958,0.523,0.5214,0.5033
0.7,sym_l_m_h2,0.5078,0.5154,0.5128,0.5005,0.4784
0.7,sym_l_m_h3,0.4917,0.494,0.5156,0.5363,0.4956
0.8,sym_h_b_h2,0.4465,0.4602,0.4686,0.448,0.4439
0.8,sym_h_b_h3,0.4857,0.4697,0.439,0.4336,0.4382
0.8,sym_h_m_h2,0.4828,0.4833,0.464,0.4806,0.4619
0.8,sym_h_m_h3,0.4824,0.4841,0.456,0.4524,0.46
0.8,sym_l_b_h2,0.5407,0.5213,0.5031,0.5056,0.5004
0.8,sym_l_b_h3,0.4968,0.4928,0.516,0.5095,0.505
0.8,sym_l_m_h2,0.5173,0.5064,0.5105,0.5019,0.4766
0.8,sym_l_m_h3,0.493,0.4936,0.5098,0.5216,0.4921
0.9,sym_h_b_h2,0.4372,0.449,0.4459,0.4426,0.4467
0.9,sym_h_b_h3,0.484,0.4624,0.4483,0.4417,0.4351
0.9,sym_h_m_h2,0.4906,0.4797,0.4691,0.4747,0.4759
