"Inter-edge Weight MLN","Measurement","0.1","0.2","0.3","0.4","0.5"
"1.0","dg","0.4017","0.4064","0.4115","0.4176","0.4099"
"1.0","gaccs","0.4014","0.4066","0.4126","0.4183","0.4099"
"1.0","pr","0.4011","0.4074","0.4115","0.4152","0.4124"
"1.0","pr_w","0.4156","0.4156","0.4156","0.4156","0.4156"
"1.0","sp","0.4015","0.4063","0.4117","0.4158","0.4096"
"1.0","sp_w","0.392","0.392","0.392","0.392","0.392"
"1.0","stg","0.4156","0.4156","0.4156","0.4156","0.4156"
"1.1","dg","0.4013","0.4077","0.4108","0.4139","0.4106"
"1.1","gaccs","0.4011","0.4078","0.4105","0.4143","0.4096"
"1.1","pr","0.403","0.4058","0.409","0.4156","0.4119"
"1.1","pr_w","0.4158","0.4158","0.4158","0.4158","0.4158"
"1.1","sp","0.4007","0.4086","0.4109","0.4136","0.4104"
"1.1","sp_w","0.3917","0.3917","0.3917","0.3917","0.3917"
"1.1","stg","0.4175","0.4175","0.4175","0.4175","0.4175"
"1.3","dg","0.399","0.4061","0.4096","0.4175","0.4095"
"1.3","gaccs","0.3988","0.4072","0.4086","0.42","0.4097"
"1.3","pr","0.3993","0.4058","0.4082","0.4129","0.4131"
"1.3","pr_w","0.418","0.418","0.418","0.418","0.418"
"1.3","sp","0.3995","0.4053","0.4091","0.4127","0.4108"
"1.3","sp_w","0.3942","0.3942","0.3942","0.3942","0.3942"
"1.3","stg","0.4157","0.4157","0.4157","0.4157","0.4157"
"1.5","dg","0.4027","0.4076","0.4125","0.4171","0.4131"
"1.5","gaccs","0.4013","0.4074","0.412","0.4183","0.4148"
"1.5","pr","0.3991","0.4042","0.4107","0.4177","0.4141"
"1.5","pr_w","0.4188","0.4188","0.4188","0.4188","0.4188"
"1.5","sp","0.4025","0.4075","0.4112","0.4154","0.4111"
"1.5","sp_w","0.3948","0.3948","0.3948","0.3948","0.3948"
"1.5","stg","0.4167","0.4167","0.4167","0.4167","0.4167"
"1.7","dg","0.4026","0.4084","0.4109","0.412","0.4125"
"1.7","gaccs","0.4025","0.4079","0.4103","0.4129","0.4129"
"1.7","pr","0.4002","0.4046","0.4111","0.4157","0.4146"
"1.7","pr_w","0.4203","0.4203","0.4203","0.4203","0.4203"
"1.7","sp","0.402","0.4087","0.4106","0.4128","0.4082"
"1.7","sp_w","0.395","0.395","0.395","0.395","0.395"
"1.7","stg","0.4159","0.4159","0.4159","0.4159","0.4159"
"1.9","dg","0.4016","0.4087","0.4126","0.4142","0.4119"
"1.9","gaccs","0.4019","0.4091","0.4108","0.4136","0.4099"
"1.9","pr","0.4015","0.4053","0.413","0.4154","0.4148"
"1.9","pr_w","0.4215","0.4215","0.4215","0.4215","0.4215"
"1.9","sp","0.4017","0.4082","0.4132","0.412","0.4122"
"1.9","sp_w","0.3954","0.3954","0.3954","0.3954","0.3954"
"1.9","stg","0.4161","0.4161","0.4161","0.4161","0.4161"
