"Inter-edge Weight MLN","Measurement","0.1","0.2","0.3","0.4","0.5"
"1.0","dg","0.4043","0.41","0.4119","0.4158","0.4121"
"1.0","gaccs","0.4031","0.41","0.4137","0.4153","0.4137"
"1.0","pr","0.4015","0.4092","0.4128","0.4149","0.4159"
"1.0","pr_w","0.4107","0.4107","0.4107","0.4107","0.4107"
"1.0","sp","0.4041","0.4102","0.4117","0.4132","0.4125"
"1.0","sp_w","0.3935","0.3935","0.3935","0.3935","0.3935"
"1.0","stg","0.4096","0.4096","0.4096","0.4096","0.4096"
"1.1","dg","0.4039","0.4096","0.4114","0.4151","0.4138"
"1.1","gaccs","0.4029","0.4106","0.4134","0.413","0.4144"
"1.1","pr","0.4012","0.4094","0.4102","0.4154","0.4144"
"1.1","pr_w","0.4105","0.4105","0.4105","0.4105","0.4105"
"1.1","sp","0.4035","0.41","0.41","0.4132","0.4112"
"1.1","sp_w","0.3947","0.3947","0.3947","0.3947","0.3947"
"1.1","stg","0.4092","0.4092","0.4092","0.4092","0.4092"
"1.3","dg","0.4038","0.4112","0.4123","0.4168","0.4131"
"1.3","gaccs","0.4031","0.4122","0.4128","0.4165","0.4143"
"1.3","pr","0.3994","0.4094","0.4086","0.4129","0.417"
"1.3","pr_w","0.4115","0.4115","0.4115","0.4115","0.4115"
"1.3","sp","0.4043","0.4112","0.4111","0.4123","0.4119"
"1.3","sp_w","0.3974","0.3974","0.3974","0.3974","0.3974"
"1.3","stg","0.4069","0.4069","0.4069","0.4069","0.4069"
"1.5","dg","0.4043","0.4112","0.4122","0.4147","0.4144"
"1.5","gaccs","0.4031","0.4113","0.4123","0.415","0.4134"
"1.5","pr","0.3987","0.4086","0.4126","0.4161","0.4162"
"1.5","pr_w","0.414","0.414","0.414","0.414","0.414"
"1.5","sp","0.4042","0.4113","0.4116","0.4135","0.411"
"1.5","sp_w","0.3971","0.3971","0.3971","0.3971","0.3971"
"1.5","stg","0.4088","0.4088","0.4088","0.4088","0.4088"
"1.7","dg","0.4027","0.4118","0.4108","0.4122","0.4151"
"1.7","gaccs","0.4027","0.4122","0.41","0.4115","0.4137"
"1.7","pr","0.3995","0.4078","0.4094","0.415","0.4177"
"1.7","pr_w","0.4173","0.4173","0.4173","0.4173","0.4173"
"1.7","sp","0.4024","0.4125","0.4094","0.4129","0.4111"
"1.7","sp_w","0.397","0.397","0.397","0.397","0.397"
"1.7","stg","0.4101","0.4101","0.4101","0.4101","0.4101"
"1.9","dg","0.4039","0.4125","0.4097","0.4134","0.4111"
"1.9","gaccs","0.403","0.4127","0.4093","0.4158","0.4105"
"1.9","pr","0.3995","0.4073","0.4113","0.4127","0.4165"
"1.9","pr_w","0.4168","0.4168","0.4168","0.4168","0.4168"
"1.9","sp","0.4038","0.4123","0.4094","0.4096","0.41"
"1.9","sp_w","0.3964","0.3964","0.3964","0.3964","0.3964"
"1.9","stg","0.4101","0.4101","0.4101","0.4101","0.4101"
