Inter-edge Weight MLN,Measurement,0.1,0.2,0.3,0.4,0.5
0.5,dg,0.4038,0.4093,0.4107,0.4146,0.4085
0.5,gaccs,0.4038,0.4075,0.4102,0.4132,0.4104
0.5,pr,0.4032,0.4075,0.4103,0.4123,0.4157
0.5,pr_w,0.4103,0.4103,0.4103,0.4103,0.4103
0.5,sp,0.4028,0.4087,0.4108,0.4132,0.4099
0.5,sp_w,0.3917,0.3917,0.3917,0.3917,0.3917
0.5,stg,0.4077,0.4077,0.4077,0.4077,0.4077
0.5,sym_h_b_h2,0.3429,0.3431,0.3456,0.3491,0.3496
0.5,sym_l_b_h2,0.3686,0.3647,0.3395,0.3205,0.3115
0.5,accs_h2,0.3574,0.3633,0.3697,0.3847,0.3963
0.6,dg,0.4038,0.4079,0.4088,0.4152,0.4067
0.6,gaccs,0.4037,0.408,0.4087,0.4146,0.4093
0.6,pr,0.4026,0.4091,0.4102,0.4142,0.4146
0.6,pr_w,0.4135,0.4135,0.4135,0.4135,0.4135
0.6,sp,0.4029,0.4093,0.4094,0.4143,0.4098
0.6,sp_w,0.3924,0.3924,0.3924,0.3924,0.3924
0.6,stg,0.4074,0.4074,0.4074,0.4074,0.4074
0.6,sym_h_b_h2,0.3428,0.3447,0.3427,0.35,0.3505
0.6,sym_l_b_h2,0.3703,0.3652,0.3436,0.3207,0.3097
0.6,accs_h2,0.3559,0.3693,0.3702,0.3855,0.3987
0.7,dg,0.4021,0.4097,0.4111,0.4149,0.4081
0.7,gaccs,0.4018,0.4101,0.4114,0.4161,0.409
0.7,pr,0.4042,0.4088,0.4107,0.4177,0.4122
0.7,pr_w,0.4135,0.4135,0.4135,0.4135,0.4135
0.7,sp,0.402,0.4083,0.4116,0.4155,0.4067
0.7,sp_w,0.3903,0.3903,0.3903,0.3903,0.3903
0.7,stg,0.4101,0.4101,0.4101,0.4101,0.4101
0.7,sym_h_b_h2,0.3431,0.3442,0.3423,0.3479,0.3483
0.7,sym_l_b_h2,0.3686,0.3656,0.3453,0.32,0.313
0.7,accs_h2,0.3589,0.366,0.3702,0.3888,0.3927
0.8,dg,0.4016,0.4092,0.4142,0.4179,0.4119
0.8,gaccs,0.4018,0.4089,0.4144,0.4183,0.4102
0.8,pr,0.402,0.4087,0.4143,0.4163,0.4118
0.8,pr_w,0.4141,0.4141,0.4141,0.4141,0.4141
0.8,sp,0.4013,0.4074,0.4129,0.4163,0.4071
0.8,sp_w,0.3905,0.3905,0.3905,0.3905,0.3905
0.8,stg,0.4141,0.4141,0.4141,0.4141,0.4141
0.8,sym_h_b_h2,0.3406,0.3421,0.346,0.3445,0.3456
0.8,sym_l_b_h2,0.3664,0.3653,0.3431,0.3211,0.3147
0.8,accs_h2,0.358,0.3666,0.369,0.3823,0.3928
0.9,dg,0.402,0.4085,0.4129,0.4169,0.4119
0.9,gaccs,0.4014,0.4088,0.4128,0.4168,0.4097
0.9,pr,0.4016,0.4074,0.4121,0.417,0.4132
0.9,pr_w,0.4149,0.4149,0.4149,0.4149,0.4149
0.9,sp,0.402,0.4089,0.4137,0.4171,0.4095
0.9,sp_w,0.3885,0.3885,0.3885,0.3885,0.3885
0.9,stg,0.4134,0.4134,0.4134,0.4134,0.4134
0.9,sym_h_b_h2,0.3441,0.3432,0.3463,0.3408,0.3447
0.9,sym_l_b_h2,0.367,0.3655,0.3423,0.3239,0.3138
0.9,accs_h2,0.3585,0.3673,0.3689,0.3834,0.3871
1,dg,0.3867,0.3867,0.3867,0.3867,0.3867
1,gaccs,0.3849,0.3849,0.3849,0.3849,0.3849
1,pr,0.3917,0.3917,0.3917,0.3917,0.3917
1,pr_w,0.4074,0.4074,0.4074,0.4074,0.4074
1,sp,0.3867,0.3867,0.3867,0.3867,0.3867
1,sp_w,0.3929,0.3929,0.3929,0.3929,0.3929
1,stg,0.4094,0.4094,0.4094,0.4094,0.4094
1,sym_h_b_h2,0.3432,0.3432,0.3432,0.3432,0.3432
1,sym_l_b_h2,0.3738,0.3738,0.3738,0.3738,0.3738
1,accs_h2,0.3592,0.3592,0.3592,0.3592,0.3592
1.1,dg,0.4013,0.4077,0.4108,0.4139,0.4106
1.1,gaccs,0.4011,0.4078,0.4105,0.4143,0.4096
1.1,pr,0.403,0.4058,0.409,0.4156,0.4119
1.1,pr_w,0.4158,0.4158,0.4158,0.4158,0.4158
1.1,sp,0.4007,0.4086,0.4109,0.4136,0.4104
1.1,sp_w,0.3917,0.3917,0.3917,0.3917,0.3917
1.1,stg,0.4175,0.4175,0.4175,0.4175,0.4175
1.1,sym_h_b_h2,0.3457,0.3438,0.3407,0.3441,0.346
1.1,sym_l_b_h2,0.3647,0.3623,0.3454,0.3278,0.3178
1.1,accs_h2,0.3577,0.3676,0.3671,0.3782,0.3915
1.3,dg,0.399,0.4061,0.4096,0.4175,0.4095
1.3,gaccs,0.3988,0.4072,0.4086,0.42,0.4097
1.3,pr,0.3993,0.4058,0.4082,0.4129,0.4131
1.3,pr_w,0.418,0.418,0.418,0.418,0.418
1.3,sp,0.3995,0.4053,0.4091,0.4127,0.4108
1.3,sp_w,0.3942,0.3942,0.3942,0.3942,0.3942
1.3,stg,0.4157,0.4157,0.4157,0.4157,0.4157
1.3,sym_h_b_h2,0.345,0.3434,0.3392,0.3405,0.3389
1.3,sym_l_b_h2,0.3667,0.3654,0.346,0.3259,0.317
1.3,accs_h2,0.3555,0.3694,0.3667,0.381,0.3917
1.5,dg,0.4027,0.4076,0.4125,0.4171,0.4131
1.5,gaccs,0.4013,0.4074,0.412,0.4183,0.4148
1.5,pr,0.3991,0.4042,0.4107,0.4177,0.4141
1.5,pr_w,0.4188,0.4188,0.4188,0.4188,0.4188
1.5,sp,0.4025,0.4075,0.4112,0.4154,0.4111
1.5,sp_w,0.3948,0.3948,0.3948,0.3948,0.3948
1.5,stg,0.4167,0.4167,0.4167,0.4167,0.4167
1.5,sym_h_b_h2,0.3426,0.3439,0.3362,0.3381,0.3379
1.5,sym_l_b_h2,0.3667,0.3662,0.35,0.3292,0.3228
1.5,accs_h2,0.3567,0.3656,0.3661,0.383,0.3893
1.7,dg,0.4026,0.4084,0.4109,0.412,0.4125
1.7,gaccs,0.4025,0.4079,0.4103,0.4129,0.4129
1.7,pr,0.4002,0.4046,0.4111,0.4157,0.4146
1.7,pr_w,0.4203,0.4203,0.4203,0.4203,0.4203
1.7,sp,0.402,0.4087,0.4106,0.4128,0.4082
1.7,sp_w,0.395,0.395,0.395,0.395,0.395
1.7,stg,0.4159,0.4159,0.4159,0.4159,0.4159
1.7,sym_h_b_h2,0.3432,0.3437,0.338,0.3421,0.3292
1.7,sym_l_b_h2,0.3674,0.3704,0.352,0.3316,0.3197
1.7,accs_h2,0.3565,0.365,0.3669,0.3818,0.3929
1.9,dg,0.4016,0.4087,0.4126,0.4142,0.4119
1.9,gaccs,0.4019,0.4091,0.4108,0.4136,0.4099
1.9,pr,0.4015,0.4053,0.413,0.4154,0.4148
1.9,pr_w,0.4215,0.4215,0.4215,0.4215,0.4215
1.9,sp,0.4017,0.4082,0.4132,0.412,0.4122
1.9,sp_w,0.3954,0.3954,0.3954,0.3954,0.3954
1.9,stg,0.4161,0.4161,0.4161,0.4161,0.4161
1.9,sym_h_b_h2,0.3398,0.3428,0.3355,0.3376,0.3247
1.9,sym_l_b_h2,0.3676,0.3731,0.3555,0.3337,0.3228
1.9,accs_h2,0.3553,0.3647,0.3698,0.3828,0.3929
