"Inter-edge Weight MLN","Measurement","0.1","0.2","0.3","0.4","0.5"
"0.5","dg","0.3503","0.3611","0.36","0.362","0.3621"
"0.5","gaccs","0.3501","0.3607","0.3595","0.3621","0.3613"
"0.5","pr","0.3504","0.358","0.3626","0.3606","0.3604"
"0.5","pr_w","0.3688","0.3688","0.3688","0.3688","0.3688"
"0.5","sp","0.3515","0.3625","0.3598","0.3633","0.3645"
"0.5","sp_w","0.3452","0.3452","0.3452","0.3452","0.3452"
"0.5","stg","0.3675","0.3675","0.3675","0.3675","0.3675"
"0.6","dg","0.3512","0.3585","0.3605","0.3637","0.362"
"0.6","gaccs","0.35","0.3591","0.3601","0.3619","0.361"
"0.6","pr","0.3512","0.3578","0.3608","0.3595","0.3623"
"0.6","pr_w","0.3703","0.3703","0.3703","0.3703","0.3703"
"0.6","sp","0.3522","0.3592","0.3618","0.3622","0.3657"
"0.6","sp_w","0.3437","0.3437","0.3437","0.3437","0.3437"
"0.6","stg","0.3674","0.3674","0.3674","0.3674","0.3674"
"0.7","dg","0.352","0.3575","0.3604","0.3632","0.3623"
"0.7","gaccs","0.35","0.358","0.36","0.3613","0.3595"
"0.7","pr","0.3509","0.3566","0.3631","0.361","0.361"
"0.7","pr_w","0.3681","0.3681","0.3681","0.3681","0.3681"
"0.7","sp","0.3526","0.3591","0.3607","0.3635","0.3639"
"0.7","sp_w","0.3438","0.3438","0.3438","0.3438","0.3438"
"0.7","stg","0.3696","0.3696","0.3696","0.3696","0.3696"
"0.8","dg","0.3506","0.3576","0.359","0.3606","0.3614"
"0.8","gaccs","0.3497","0.3576","0.3584","0.3585","0.3599"
"0.8","pr","0.3506","0.3564","0.3602","0.3607","0.3593"
"0.8","pr_w","0.3664","0.3664","0.3664","0.3664","0.3664"
"0.8","sp","0.3506","0.3591","0.3599","0.361","0.3644"
"0.8","sp_w","0.3432","0.3432","0.3432","0.3432","0.3432"
"0.8","stg","0.3684","0.3684","0.3684","0.3684","0.3684"
"0.9","dg","0.3527","0.3594","0.3594","0.3598","0.3626"
"0.9","gaccs","0.3514","0.3591","0.3571","0.3573","0.3586"
"0.9","pr","0.3511","0.3585","0.3625","0.3573","0.3599"
"0.9","pr_w","0.3651","0.3651","0.3651","0.3651","0.3651"
"0.9","sp","0.353","0.3604","0.361","0.3598","0.3639"
"0.9","sp_w","0.343","0.343","0.343","0.343","0.343"
"0.9","stg","0.3695","0.3695","0.3695","0.3695","0.3695"
