"Inter-edge Weight MLN","Measurement","0.1","0.2","0.3","0.4","0.5"
"0.5","dg","0.3486","0.3585","0.3606","0.3612","0.3618"
"0.5","gaccs","0.3482","0.3581","0.3598","0.3613","0.3607"
"0.5","pr","0.3507","0.3558","0.361","0.3606","0.3604"
"0.5","pr_w","0.3663","0.3663","0.3663","0.3663","0.3663"
"0.5","sp","0.3496","0.3601","0.3602","0.3637","0.3626"
"0.5","sp_w","0.3437","0.3437","0.3437","0.3437","0.3437"
"0.5","stg","0.3635","0.3635","0.3635","0.3635","0.3635"
"0.6","dg","0.3506","0.3568","0.3612","0.3635","0.3619"
"0.6","gaccs","0.3493","0.3565","0.3607","0.3628","0.3607"
"0.6","pr","0.3515","0.3553","0.3592","0.3606","0.362"
"0.6","pr_w","0.3686","0.3686","0.3686","0.3686","0.3686"
"0.6","sp","0.3513","0.3581","0.3624","0.3633","0.3623"
"0.6","sp_w","0.3435","0.3435","0.3435","0.3435","0.3435"
"0.6","stg","0.3655","0.3655","0.3655","0.3655","0.3655"
"0.7","dg","0.35","0.3558","0.3608","0.3638","0.3612"
"0.7","gaccs","0.3492","0.3563","0.3604","0.3632","0.3584"
"0.7","pr","0.351","0.3547","0.3609","0.3626","0.3595"
"0.7","pr_w","0.3676","0.3676","0.3676","0.3676","0.3676"
"0.7","sp","0.3504","0.358","0.3611","0.3652","0.3603"
"0.7","sp_w","0.3438","0.3438","0.3438","0.3438","0.3438"
"0.7","stg","0.367","0.367","0.367","0.367","0.367"
"0.8","dg","0.3493","0.3558","0.3592","0.3622","0.3604"
"0.8","gaccs","0.3489","0.356","0.3587","0.3601","0.3594"
"0.8","pr","0.3507","0.3548","0.3578","0.3621","0.3569"
"0.8","pr_w","0.3661","0.3661","0.3661","0.3661","0.3661"
"0.8","sp","0.349","0.3575","0.3606","0.3625","0.3616"
"0.8","sp_w","0.3431","0.3431","0.3431","0.3431","0.3431"
"0.8","stg","0.3674","0.3674","0.3674","0.3674","0.3674"
"0.9","dg","0.3517","0.3577","0.3607","0.3601","0.3599"
"0.9","gaccs","0.3503","0.3576","0.3585","0.3578","0.3564"
"0.9","pr","0.3507","0.3571","0.3613","0.3578","0.36"
"0.9","pr_w","0.3661","0.3661","0.3661","0.3661","0.3661"
"0.9","sp","0.3514","0.3586","0.3621","0.3583","0.3604"
"0.9","sp_w","0.3432","0.3432","0.3432","0.3432","0.3432"
"0.9","stg","0.369","0.369","0.369","0.369","0.369"
