"Inter-edge Weight MLN","Measurement","0.1","0.2","0.3","0.4","0.5"
"0.5","accs_h2","0.2714","0.2935","0.3105","0.3133","0.3274"
"0.5","sym_h_b_h2","0.2677","0.2859","0.285","0.2817","0.2781"
"0.5","sym_l_b_h2","0.3137","0.2899","0.2629","0.2505","0.242"
"0.6","accs_h2","0.2736","0.2942","0.3114","0.3116","0.3246"
"0.6","sym_h_b_h2","0.2679","0.2863","0.284","0.2841","0.2748"
"0.6","sym_l_b_h2","0.3133","0.2913","0.2678","0.2529","0.235"
"0.7","accs_h2","0.2741","0.294","0.3123","0.3137","0.3249"
"0.7","sym_h_b_h2","0.2659","0.2839","0.2903","0.2811","0.2751"
"0.7","sym_l_b_h2","0.3126","0.291","0.2722","0.2466","0.2341"
"0.8","accs_h2","0.2754","0.2937","0.3087","0.3178","0.3243"
"0.8","sym_h_b_h2","0.2665","0.2858","0.2868","0.2804","0.2693"
"0.8","sym_l_b_h2","0.3157","0.2932","0.275","0.2493","0.24"
"0.9","accs_h2","0.2744","0.2929","0.3089","0.3169","0.3255"
"0.9","sym_h_b_h2","0.2621","0.2838","0.2855","0.28","0.2626"
"0.9","sym_l_b_h2","0.3139","0.2929","0.2783","0.2434","0.2461"
"1.1","accs_h2","0.2771","0.2923","0.3092","0.3161","0.3229"
"1.1","sym_h_b_h2","0.2632","0.2806","0.2883","0.2779","0.2658"
"1.1","sym_l_b_h2","0.3122","0.2958","0.2767","0.2471","0.2468"
"1.3","accs_h2","0.2749","0.2921","0.3094","0.3138","0.3202"
"1.3","sym_h_b_h2","0.269","0.2819","0.2856","0.2738","0.2631"
"1.3","sym_l_b_h2","0.3115","0.2929","0.2785","0.249","0.2459"
"1.5","accs_h2","0.2735","0.2908","0.3077","0.316","0.3227"
"1.5","sym_h_b_h2","0.2685","0.285","0.2797","0.2688","0.2581"
"1.5","sym_l_b_h2","0.3123","0.293","0.2824","0.2441","0.2446"
"1.7","accs_h2","0.2701","0.2873","0.3038","0.3198","0.323"
"1.7","sym_h_b_h2","0.272","0.2829","0.2784","0.2723","0.256"
"1.7","sym_l_b_h2","0.3132","0.2924","0.282","0.2497","0.243"
"1.9","accs_h2","0.2698","0.2859","0.2991","0.318","0.3293"
"1.9","sym_h_b_h2","0.2699","0.2863","0.2802","0.2715","0.2505"
"1.9","sym_l_b_h2","0.3151","0.2942","0.2837","0.2549","0.2426"
