Inter-edge Weight MLN,Measurement,0.1,0.2,0.3,0.4,0.5
0.5,accs_h2,0.2714,0.2932,0.3099,0.3138,0.3277
0.5,sym_h_b_h2,0.2681,0.2863,0.2873,0.2821,0.2779
0.5,sym_h_b_h3,0.2498,0.225,0.2185,0.2171,0.2201
0.5,sym_h_m_h2,0.3009,0.2998,0.2954,0.2954,0.2895
0.5,sym_h_m_h3,0.2675,0.2612,0.2705,0.2879,0.2854
0.5,sym_l_b_h2,0.3155,0.2893,0.2613,0.2493,0.2412
0.5,sym_l_b_h3,0.2736,0.2839,0.2985,0.3149,0.3282
0.5,sym_l_m_h2,0.2889,0.2968,0.3002,0.3047,0.2983
0.5,sym_l_m_h3,0.2736,0.2837,0.2983,0.3106,0.3058
0.6,accs_h2,0.2736,0.2934,0.3105,0.3123,0.3256
0.6,sym_h_b_h2,0.2682,0.2863,0.2843,0.2845,0.2739
0.6,sym_h_b_h3,0.2455,0.2249,0.2174,0.2155,0.2171
0.6,sym_h_m_h2,0.3009,0.2987,0.2949,0.2942,0.2891
0.6,sym_h_m_h3,0.2642,0.2615,0.2755,0.2838,0.2916
0.6,sym_l_b_h2,0.315,0.2907,0.2653,0.2514,0.2348
0.6,sym_l_b_h3,0.2734,0.2857,0.2972,0.3155,0.3292
0.6,sym_l_m_h2,0.2892,0.2989,0.3066,0.3069,0.3048
0.6,sym_l_m_h3,0.2734,0.2855,0.2974,0.3114,0.3119
0.7,accs_h2,0.2742,0.2928,0.3121,0.3137,0.3271
0.7,sym_h_b_h2,0.2663,0.2837,0.2903,0.2823,0.2748
0.7,sym_h_b_h3,0.2461,0.2259,0.2206,0.2167,0.218
0.7,sym_h_m_h2,0.3009,0.2987,0.2964,0.2923,0.2887
0.7,sym_h_m_h3,0.2646,0.2628,0.2777,0.2831,0.2885
0.7,sym_l_b_h2,0.3145,0.29,0.27,0.2466,0.2352
0.7,sym_l_b_h3,0.2736,0.2867,0.299,0.3174,0.33
0.7,sym_l_m_h2,0.2885,0.2996,0.2971,0.3111,0.3115
0.7,sym_l_m_h3,0.2736,0.2853,0.2992,0.314,0.3052
0.8,accs_h2,0.2754,0.2933,0.3084,0.319,0.3248
0.8,sym_h_b_h2,0.2665,0.286,0.2874,0.2811,0.2688
0.8,sym_h_b_h3,0.2452,0.224,0.221,0.2186,0.2194
0.8,sym_h_m_h2,0.3003,0.2973,0.2923,0.2907,0.2863
0.8,sym_h_m_h3,0.2632,0.2656,0.2762,0.2797,0.2911
0.8,sym_l_b_h2,0.317,0.2921,0.2731,0.2483,0.2395
0.8,sym_l_b_h3,0.2739,0.2873,0.3002,0.3171,0.3279
0.8,sym_l_m_h2,0.2892,0.2978,0.2992,0.3148,0.3136
0.8,sym_l_m_h3,0.2739,0.2864,0.2983,0.3136,0.3029
0.9,accs_h2,0.2743,0.2927,0.3088,0.3181,0.3241
0.9,sym_h_b_h2,0.2629,0.2838,0.2856,0.2815,0.2624
0.9,sym_h_b_h3,0.2468,0.2212,0.2198,0.2179,0.2221
0.9,sym_h_m_h2,0.2999,0.2976,0.291,0.2914,0.2842
0.9,sym_h_m_h3,0.2656,0.265,0.2804,0.2807,0.2867
0.9,sym_l_b_h2,0.315,0.2916,0.2768,0.2434,0.2452
0.9,sym_l_b_h3,0.2748,0.2864,0.3008,0.3158,0.3258
0.9,sym_l_m_h2,0.2889,0.296,0.3023,0.3218,0.3171
0.9,sym_l_m_h3,0.2748,0.2854,0.3001,0.3129,0.305
1,accs_h2,0.2776,0.2776,0.2776,0.2776,0.2776
1,sym_h_b_h2,0.2675,0.2675,0.2675,0.2675,0.2675
1,sym_h_b_h3,0.262,0.262,0.262,0.262,0.262
1,sym_h_m_h2,0.3011,0.3011,0.3011,0.3011,0.3011
1,sym_h_m_h3,0.2767,0.2767,0.2767,0.2767,0.2767
1,sym_l_b_h2,0.3266,0.3266,0.3266,0.3266,0.3266
1,sym_l_b_h3,0.2695,0.2695,0.2695,0.2695,0.2695
1,sym_l_m_h2,0.3011,0.3011,0.3011,0.3011,0.3011
1,sym_l_m_h3,0.2695,0.2695,0.2695,0.2695,0.2695
1.1,accs_h2,0.277,0.2917,0.308,0.317,0.3233
1.1,sym_h_b_h2,0.2645,0.2806,0.2875,0.2785,0.2657
1.1,sym_h_b_h3,0.2451,0.2202,0.2206,0.219,0.2214
1.1,sym_h_m_h2,0.2999,0.297,0.2889,0.288,0.2873
1.1,sym_h_m_h3,0.2668,0.2602,0.283,0.2807,0.2908
1.1,sym_l_b_h2,0.3132,0.2927,0.2749,0.2485,0.2477
1.1,sym_l_b_h3,0.274,0.288,0.295,0.3117,0.3159
1.1,sym_l_m_h2,0.2876,0.2961,0.3021,0.3211,0.3093
1.1,sym_l_m_h3,0.274,0.2866,0.2934,0.3061,0.2976
1.3,accs_h2,0.2748,0.2922,0.3087,0.3148,0.3189
1.3,sym_h_b_h2,0.2693,0.2819,0.2848,0.2739,0.2631
1.3,sym_h_b_h3,0.2449,0.22,0.2215,0.2208,0.2229
1.3,sym_h_m_h2,0.2992,0.2953,0.2889,0.2888,0.2823
1.3,sym_h_m_h3,0.2651,0.2589,0.2831,0.2811,0.286
1.3,sym_l_b_h2,0.3136,0.2929,0.2778,0.2477,0.2461
1.3,sym_l_b_h3,0.2734,0.2865,0.2981,0.313,0.3157
1.3,sym_l_m_h2,0.2898,0.2964,0.2966,0.314,0.3154
1.3,sym_l_m_h3,0.2734,0.2847,0.2966,0.3062,0.297
1.5,accs_h2,0.273,0.291,0.3072,0.3148,0.3223
1.5,sym_h_b_h2,0.2688,0.285,0.2793,0.2692,0.2581
1.5,sym_h_b_h3,0.2448,0.2206,0.2178,0.2195,0.2222
1.5,sym_h_m_h2,0.2991,0.2917,0.2914,0.2906,0.2837
1.5,sym_h_m_h3,0.2652,0.2585,0.2844,0.2881,0.2908
1.5,sym_l_b_h2,0.315,0.2936,0.2813,0.2441,0.2435
1.5,sym_l_b_h3,0.2729,0.289,0.2979,0.3149,0.3173
1.5,sym_l_m_h2,0.2907,0.2966,0.3035,0.319,0.3197
1.5,sym_l_m_h3,0.2729,0.2896,0.2984,0.3083,0.3005
1.7,accs_h2,0.2696,0.2871,0.3038,0.3185,0.3227
1.7,sym_h_b_h2,0.2723,0.2831,0.2785,0.2743,0.2564
1.7,sym_h_b_h3,0.2465,0.2196,0.219,0.223,0.2203
1.7,sym_h_m_h2,0.2996,0.296,0.2904,0.2883,0.2877
1.7,sym_h_m_h3,0.2664,0.257,0.2813,0.2909,0.2899
1.7,sym_l_b_h2,0.3162,0.293,0.2822,0.2506,0.2427
1.7,sym_l_b_h3,0.2729,0.289,0.2984,0.3118,0.3163
1.7,sym_l_m_h2,0.292,0.2976,0.3051,0.3184,0.3184
1.7,sym_l_m_h3,0.2729,0.2897,0.2989,0.3036,0.2989
1.9,accs_h2,0.2698,0.2856,0.2991,0.3162,0.3295
1.9,sym_h_b_h2,0.2702,0.2858,0.2804,0.2734,0.251
1.9,sym_h_b_h3,0.2455,0.2207,0.2193,0.2213,0.2188
1.9,sym_h_m_h2,0.2996,0.2971,0.2902,0.2888,0.2861
1.9,sym_h_m_h3,0.2665,0.2565,0.28,0.2885,0.2869
1.9,sym_l_b_h2,0.3167,0.296,0.2826,0.2566,0.244
1.9,sym_l_b_h3,0.2739,0.2888,0.3028,0.3094,0.3126
1.9,sym_l_m_h2,0.2944,0.2993,0.308,0.3199,0.321
1.9,sym_l_m_h3,0.2739,0.2892,0.3033,0.3024,0.301
